,Broadband,Cells,Servers,Exports,country
200,0.178401654,72.23888424,17.9384583099171,NA,Rwanda
202,7.585997455,122.0799835,167.616864946498,NA,Saudi Arabia
203,0.076682572,70.6681119,1.87354740786416,549176,Sudan
204,0.705305999,99.41831103,8.5801347043295,9468674,Senegal
205,25.84936635,146.8230696,58690.3334543186,136160944489,Singapore
206,0.190727628,76.11619009,63.7939749044317,300163,Solomon Islands
207,NA,87.66460435,1.85253503540724,1349,Sierra Leone
208,6.941630671,156.5132655,61.6194822928656,220682470,El Salvador
209,31.43712575,113.7724551,19011.9760479042,NA,San Marino
210,0.664743748,48.28888515,25.6401160099937,NA,Somalia
211,21.29479481,123.9901053,5802.56715062461,366110287,Serbia
213,0.001590367,22.17713444,0.159036695650044,NA,South Sudan
216,0.723839727,85.13950677,39.1529264365453,321235,São Tomé & Príncipe
217,12.64053021,141.2616569,204.117131284589,2533678,Suriname
218,25.7863098,130.6570231,6963.66692944886,8197748084,Slovakia
219,28.9339877,117.4615476,19594.093655209,1707570179,Slovenia
220,39.01190239,126.3211654,13619.1203991212,15010709919,Sweden
221,0.585114397,76.94254323,33.6440778377683,3562306,Swaziland
222,NA,NA,729.76720426184,NA,Sint Maarten
223,16.06658433,176.5751502,155191.302442536,62598408,Seychelles
224,7.789164103,84.21516784,12.424829779832,NA,Syria
225,NA,NA,789.933984088473,NA,Turks & Caicos Islands
226,0.070268485,42.65861449,0.604027088869969,NA,Chad
229,0.586788863,77.84230825,4.48850647383701,557552,Togo
230,11.88918842,176.0347306,579.728299308812,NA,Thailand
231,0.067254448,111.0146757,19.9521529437888,NA,Tajikistan
232,0.086834576,162.8495634,4.51539794115221,NA,Turkmenistan
234,0.258117072,120.0810608,11.5712973198561,154290,Timor-Leste
236,2.77726347,99.92408813,194.408442880948,NA,Tonga
239,23.86750662,148.3164065,293.618186798138,NA,Trinidad & Tobago
240,6.952620276,124.2969315,212.449966948855,602639769,Tunisia
241,14.76859502,96.35290201,3366.68440976298,3052401326,Turkey
242,4.020729092,71.47962831,NA,NA,Tuvalu
243,3.224858467,69.71531452,21.6541543983784,15651169,Tanzania
244,0.34007219,58.20615087,19.5973409021375,7081459,Uganda
245,12.55426783,133.4908372,3948.26051136113,1009138720,Ukraine
247,27.57338541,147.4671006,1097.27345049541,117759202,Uruguay
248,33.85261104,120.6930432,30335.7014808075,110120235610,United States
249,10.40471108,76.04190715,202.178638474459,NA,Uzbekistan
250,21.99787073,105.4114307,163.789730383905,29837,St. Vincent & Grenadines
251,8.155010474,78.4636301,269.755839067782,NA,Venezuela
252,17.70739838,NA,337094.499294781,NA,British Virgin Islands
253,NA,NA,1053.43625312302,NA,U.S. Virgin Islands
254,11.79594058,125.6177267,1335.38760403932,52779948158,Vietnam
255,1.644560606,82.54152126,184.619394448386,NA,Vanuatu
257,0.861331704,63.23101201,295.255548768072,61400,Samoa
258,1.660152309,54.36332628,3.32738415924436,NA,Yemen
259,1.980333781,156.0332292,9477.80244834561,1817259054,South Africa
260,0.210083812,78.6149339,41.7687241175772,35952665,Zambia
261,1.133158426,85.25218295,26.315942306743,10777419,Zimbabwe
